date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Brown) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,0.00,0.00,275.30,1.39,210.10,1.41,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312285.00,2017.00,148841.00,766.80,5392.00,0.00,0.00,32.55,0.00,0.00,0.00,6294591.00,0.00,3682237.00,0.00,40613.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,0.00,0.00,344.20,0.00,310.20,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390879.00,0.00,219825.00,0.00,1046.00,0.00,0.00,49.00,0.00,0.00,0.00,14970859.00,0.00,13269471.00,0.00,30812.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,0.00,0.00,342.40,0.48,289.20,0.00,2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390864.00,688.60,204927.00,0.00,3691.00,0.00,0.00,79.40,0.00,0.00,0.00,18985687.00,14650.00,19922156.00,0.00,97343.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,0.00,0.00,365.50,0.00,207.90,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,416113.00,0.00,147319.00,0.00,1317.00,0.00,0.00,46.17,0.00,0.00,0.00,15576419.00,0.00,8409677.00,0.00,38259.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,0.00,0.00,150.20,0.27,330.60,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173672.00,386.60,234245.00,0.00,3561.00,0.00,0.00,93.12,0.00,0.00,0.00,15683059.00,12217.00,20190109.00,0.00,203897.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,0.00,0.00,195.50,0.15,367.10,0.56,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228875.00,216.80,260135.00,302.50,560.00,0.00,0.00,47.22,0.00,0.00,0.00,7999495.00,5575.00,15769974.00,27333.00,6359.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,0.00,0.00,370.80,0.00,292.90,0.15,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423140.00,0.00,207506.00,83.68,2296.00,0.00,0.00,58.59,0.00,0.00,0.00,17388946.00,0.00,13959907.00,6074.00,67335.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,0.00,0.00,366.20,0.00,242.60,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,415202.00,0.00,171888.00,0.00,2863.00,0.00,0.00,50.43,0.00,0.00,0.00,17594432.00,0.00,10949439.00,0.00,95140.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,0.00,0.00,355.50,0.00,244.80,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,404542.00,0.00,173483.00,0.00,3250.00,0.00,0.00,54.09,0.00,0.00,0.00,18195934.00,0.00,11904755.00,0.00,127085.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,0.00,0.00,249.00,0.00,277.50,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285733.00,0.00,196619.00,0.00,872.10,0.00,0.00,48.15,0.00,0.00,0.00,12070488.00,0.00,11642439.00,0.00,29540.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,0.00,0.00,288.50,0.11,251.10,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330320.00,158.60,177919.00,0.00,1672.00,0.00,0.00,57.71,0.00,0.00,0.00,16500736.00,5906.00,13260999.00,0.00,126113.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,0.00,0.00,365.90,0.07,194.20,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414041.00,105.10,137618.00,0.00,5952.00,0.00,0.00,102.00,0.00,0.00,0.00,32566406.00,2375.00,19750819.00,0.00,287763.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,0.00,0.00,338.10,0.38,262.90,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385219.00,553.90,186312.00,0.00,2498.00,0.00,0.00,40.73,0.00,0.00,0.00,13189755.00,8407.00,9942158.00,0.00,57038.00,0.00,0.00,0.00,0.00,0.00
2000-01-01,0.00,0.00,0.00,380.80,0.07,305.30,0.00,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,434542.00,101.50,216346.00,0.00,7081.00,0.00,0.00,51.72,0.00,0.00,0.00,17386187.00,1848.00,13993162.00,0.00,296535.00,0.00,0.00,0.00,0.00,0.00
2000-02-01,0.00,0.00,0.00,384.70,0.86,396.90,40.47,28.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446823.00,1252.00,281231.00,22042.00,22758.00,0.00,0.00,148.06,0.00,0.00,0.00,38169361.00,32534.00,48028981.00,1937137.00,1976611.00,0.00,0.00,0.00,0.00,0.00
2000-03-01,0.00,0.00,0.00,387.70,0.14,280.20,95.37,23.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,445452.00,208.20,198571.00,51948.00,16779.00,0.00,0.00,99.34,0.00,0.00,0.00,25340464.00,5115.00,30103997.00,8593432.00,1798198.00,0.00,0.00,0.00,0.00,0.00
2000-04-01,0.00,0.00,0.00,364.00,0.00,181.70,113.10,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412128.00,0.00,128771.00,61587.00,12169.00,0.00,0.00,43.27,0.00,0.00,0.00,14549560.00,0.00,7328835.00,4504798.00,783813.00,0.00,0.00,0.00,0.00,0.00
2000-05-01,0.00,0.00,0.00,391.40,0.06,248.90,116.60,36.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,445853.00,91.35,176388.00,63512.00,25508.00,0.00,0.00,63.06,0.00,0.00,0.00,22779390.00,2586.00,14582541.00,6984472.00,2436524.00,0.00,0.00,0.00,0.00,0.00
2000-06-01,0.00,0.00,0.00,310.90,0.00,375.10,123.50,64.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361899.00,0.00,265762.00,67292.00,45483.00,0.00,0.00,63.16,0.00,0.00,0.00,17952220.00,0.00,21995332.00,7354663.00,3896858.00,0.00,0.00,0.00,0.00,0.00
2000-07-01,0.00,0.00,0.00,390.90,0.00,350.10,127.30,79.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,454469.00,0.00,248064.00,69317.00,59733.00,0.00,0.00,61.19,0.00,0.00,0.00,22578610.00,0.00,19861072.00,7428104.00,4774429.00,0.00,0.00,0.00,0.00,0.00
2000-08-01,0.00,0.00,0.00,415.20,0.05,312.50,129.30,97.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,484894.00,75.77,221394.00,70439.00,76105.00,0.00,0.00,67.36,0.00,0.00,0.00,27515857.00,2661.00,21560867.00,8594022.00,6135555.00,0.00,0.00,0.00,0.00,0.00
2000-09-01,0.00,0.00,0.00,409.00,0.00,194.90,120.10,59.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481005.00,0.00,138112.00,65352.00,40619.00,0.00,0.00,35.58,0.00,0.00,0.00,13593375.00,0.00,6887140.00,4028684.00,1951484.00,0.00,0.00,0.00,0.00,0.00
2000-10-01,0.00,0.00,0.00,343.30,0.15,212.40,127.80,60.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388330.00,211.10,150495.00,68250.00,40451.00,0.00,0.00,46.46,0.00,0.00,0.00,14738168.00,4772.00,8741078.00,5354247.00,2661497.00,0.00,0.00,0.00,0.00,0.00
2000-11-01,0.00,0.00,0.00,369.00,0.44,246.10,129.40,62.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418664.00,638.30,174363.00,69326.00,43142.00,0.00,0.00,61.11,0.00,0.00,0.00,19279643.00,12335.00,11521527.00,6849639.00,3381045.00,0.00,0.00,0.00,0.00,0.00
2000-12-01,0.00,0.00,0.00,375.80,0.03,223.50,168.00,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,426163.00,45.04,158332.00,87728.00,20640.00,0.00,0.00,39.48,0.00,0.00,0.00,13467588.00,529.40,8380335.00,5976009.00,1048138.00,0.00,0.00,0.00,0.00,0.00
2001-01-01,0.00,0.00,0.00,398.30,2.08,356.20,247.90,38.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456922.00,3014.00,252418.00,125539.00,29831.00,0.00,0.00,96.49,0.00,0.00,0.00,28576755.00,180730.00,23443040.00,18043001.00,2656682.00,0.00,0.00,0.00,0.00,0.00
2001-02-01,0.00,0.00,0.00,364.60,2.22,298.90,271.20,32.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423239.00,3212.00,211764.00,135558.00,24287.00,0.00,0.00,62.86,0.00,0.00,0.00,18643219.00,64849.00,12810944.00,12516165.00,1479784.00,0.00,0.00,0.00,0.00,0.00
2001-03-01,0.00,0.00,0.00,375.00,0.05,206.30,316.60,26.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,425490.00,66.58,146143.00,158327.00,17892.00,0.00,0.00,50.33,0.00,0.00,0.00,18733456.00,1244.00,11621626.00,13797500.00,1410820.00,0.00,0.00,0.00,0.00,0.00
2001-04-01,0.00,0.00,0.00,325.90,0.01,185.20,262.90,31.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,369416.00,8.70,131197.00,131658.00,21096.00,0.00,0.00,34.75,0.00,0.00,0.00,10459520.00,235.10,5602708.00,8797460.00,1051064.00,0.00,0.00,0.00,0.00,0.00
2001-05-01,0.00,0.00,0.00,372.50,0.17,200.50,319.70,7.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421275.00,247.10,142032.00,160037.00,5256.00,0.00,0.00,40.24,0.00,0.00,0.00,14408929.00,7629.00,7849549.00,12463614.00,337254.00,0.00,0.00,0.00,0.00,0.00
2001-06-01,0.00,0.00,0.00,368.90,0.00,213.40,331.30,34.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417085.00,0.00,151209.00,164637.00,22884.00,0.00,0.00,40.39,0.00,0.00,0.00,13369287.00,0.00,7062923.00,12160485.00,1258193.00,0.00,0.00,0.00,0.00,0.00
2001-07-01,0.00,0.00,0.00,379.70,0.00,240.10,316.40,55.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429893.00,0.00,170114.00,158034.00,36098.00,0.00,0.00,65.36,0.00,0.00,0.00,18451703.00,0.00,10047723.00,14950149.00,2288329.00,0.00,0.00,0.00,0.00,0.00
2001-08-01,0.00,0.00,0.00,375.80,0.13,222.80,410.00,54.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,426889.00,182.90,157875.00,202455.00,35860.00,0.00,0.00,95.30,0.00,0.00,0.00,21894610.00,4576.00,11470272.00,26371871.00,4037597.00,0.00,0.00,0.00,0.00,0.00
2001-09-01,0.00,0.00,0.00,315.30,0.23,189.20,338.60,61.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357073.00,328.00,134081.00,164830.00,40736.00,0.00,0.00,28.00,0.00,0.00,0.00,8483427.00,4935.00,5066258.00,9006664.00,1651001.00,0.00,0.00,0.00,0.00,0.00
2001-10-01,0.00,0.00,0.00,385.20,0.00,157.70,399.00,56.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435710.00,3.71,111761.00,197027.00,37447.00,0.00,0.00,34.96,0.00,0.00,0.00,12100959.00,68.87,4374620.00,12422223.00,1766922.00,0.00,0.00,0.00,0.00,0.00
2001-11-01,0.00,0.00,0.00,346.00,0.01,171.10,233.20,54.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392897.00,7.63,121216.00,118025.00,38917.00,0.00,0.00,29.54,0.00,0.00,0.00,9371807.00,90.16,4689508.00,6501941.00,1482183.00,0.00,0.00,0.00,0.00,0.00
2001-12-01,0.00,0.00,0.00,365.70,0.18,171.20,330.00,56.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417817.00,258.00,121270.00,164464.00,38473.00,0.00,0.00,29.53,0.00,0.00,0.00,10327847.00,5053.00,4987434.00,9296900.00,1566253.00,0.00,0.00,0.00,0.00,0.00
2002-01-01,0.00,0.00,0.00,405.70,0.00,189.20,281.40,73.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,466757.00,5.90,134042.00,141598.00,49853.00,0.00,0.00,38.60,0.00,0.00,0.00,13990343.00,52.26,5926588.00,10390082.00,2742998.00,0.00,0.00,0.00,0.00,0.00
2002-02-01,0.00,0.00,0.00,363.40,0.02,171.80,266.90,47.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417300.00,33.44,121721.00,133493.00,32179.00,0.00,0.00,37.29,0.00,0.00,0.00,12505878.00,375.00,5914478.00,8983743.00,1648446.00,0.00,0.00,0.00,0.00,0.00
2002-03-01,0.00,0.00,0.00,384.70,0.06,193.00,329.80,33.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,440688.00,91.80,136749.00,164360.00,22867.00,0.00,0.00,32.26,0.00,0.00,0.00,11506508.00,1965.00,5955232.00,10012126.00,1009272.00,0.00,0.00,0.00,0.00,0.00
2002-04-01,0.00,0.00,0.00,364.10,0.00,227.30,301.40,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412173.00,0.00,161071.00,147780.00,22665.00,0.00,0.00,30.60,0.00,0.00,0.00,10681078.00,0.00,6411009.00,8412768.00,971625.00,0.00,0.00,0.00,0.00,0.00
2002-05-01,0.00,0.00,0.00,212.40,0.47,261.30,419.30,41.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240726.00,681.00,185181.00,207023.00,31241.00,0.00,0.00,64.03,0.00,0.00,0.00,11873012.00,10666.00,15935084.00,25285220.00,2404061.00,0.00,0.00,0.00,0.00,0.00
2002-06-01,0.00,0.00,0.00,334.90,0.25,198.20,381.30,77.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,379001.00,357.50,140431.00,188722.00,54090.00,0.00,0.00,42.76,0.00,0.00,0.00,13403991.00,4636.00,8115327.00,15267150.00,2793898.00,0.00,0.00,0.00,0.00,0.00
2002-07-01,0.00,0.00,0.00,343.50,0.42,255.30,344.90,80.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388458.00,601.80,180862.00,171973.00,57624.00,0.00,0.00,49.24,0.00,0.00,0.00,15395167.00,12842.00,11591741.00,13697857.00,3586555.00,0.00,0.00,0.00,0.00,0.00
2002-08-01,0.00,0.00,0.00,381.90,0.01,222.20,361.80,55.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,431829.00,20.43,157461.00,179685.00,37027.00,0.00,0.00,29.27,0.00,0.00,0.00,10760393.00,412.20,6220163.00,10244131.00,1498962.00,0.00,0.00,0.00,0.00,0.00
2002-09-01,0.00,0.00,0.00,364.20,0.00,211.40,331.50,60.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411760.00,0.00,149784.00,164075.00,39958.00,0.00,0.00,29.35,0.00,0.00,0.00,10354289.00,0.00,5859830.00,9468615.00,1728105.00,0.00,0.00,0.00,0.00,0.00
2002-10-01,0.00,0.00,0.00,354.20,0.00,218.80,352.40,55.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400418.00,0.32,155027.00,174917.00,37257.00,0.00,0.00,28.96,0.00,0.00,0.00,9759691.00,6.51,5949143.00,9794125.00,1476507.00,0.00,0.00,0.00,0.00,0.00
2002-11-01,0.00,0.00,0.00,343.10,1.47,207.20,335.10,57.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388112.00,2128.00,146794.00,166417.00,38660.00,0.00,0.00,30.21,0.00,0.00,0.00,9748928.00,33478.00,5705642.00,9454609.00,1619477.00,0.00,0.00,0.00,0.00,0.00
2002-12-01,0.00,0.00,0.00,359.70,0.45,227.20,322.50,59.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407552.00,647.50,161017.00,160704.00,41768.00,0.00,0.00,42.30,0.00,0.00,0.00,13003986.00,43915.00,8798854.00,12199911.00,2238437.00,0.00,0.00,0.00,0.00,0.00
2003-01-01,0.00,0.00,0.00,361.20,0.21,208.70,345.20,74.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411091.00,307.10,147903.00,170811.00,53392.00,0.00,0.00,38.07,0.00,0.00,0.00,11370456.00,22782.00,6684466.00,11662774.00,2409740.00,0.00,0.00,0.00,0.00,0.00
2003-02-01,0.00,0.00,0.00,320.20,0.10,137.20,301.70,54.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362406.00,148.10,97206.00,149980.00,35970.00,0.00,0.00,22.70,0.00,0.00,0.00,6841908.00,1801.00,2848175.00,6496263.00,1168604.00,0.00,0.00,0.00,0.00,0.00
2003-03-01,0.00,0.00,0.00,359.80,0.01,97.42,270.00,63.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407560.00,13.71,69031.00,135627.00,42057.00,0.00,0.00,27.44,0.00,0.00,0.00,8669045.00,218.70,2713812.00,7546796.00,1624315.00,0.00,0.00,0.00,0.00,0.00
2003-04-01,0.00,0.00,0.00,353.00,0.10,137.20,96.34,46.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399068.00,141.80,97190.00,52212.00,31037.00,0.00,0.00,22.75,0.00,0.00,0.00,7567111.00,1808.00,2901881.00,2054143.00,987505.00,0.00,0.00,0.00,0.00,0.00
2003-05-01,0.00,0.00,0.00,224.90,0.01,195.10,285.40,38.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254315.00,21.21,138212.00,143159.00,28230.00,0.00,0.00,29.26,0.00,0.00,0.00,6138371.00,455.10,5414769.00,8406226.00,988537.00,0.00,0.00,0.00,0.00,0.00
2003-06-01,0.00,0.00,0.00,368.10,0.03,189.00,311.90,29.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,416206.00,41.81,133884.00,154154.00,20514.00,0.00,0.00,31.25,0.00,0.00,0.00,10639986.00,1363.00,5804830.00,9638186.00,901418.00,0.00,0.00,0.00,0.00,0.00
2003-07-01,0.00,0.00,0.00,385.10,0.00,170.80,334.20,54.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435433.00,0.00,121020.00,166350.00,36587.00,0.00,0.00,29.74,0.00,0.00,0.00,10618625.00,0.00,4753608.00,9508381.00,1519686.00,0.00,0.00,0.00,0.00,0.00
2003-08-01,0.00,0.00,0.00,382.20,0.04,186.10,298.20,52.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432122.00,60.13,131830.00,149244.00,35028.00,0.00,0.00,23.57,0.00,0.00,0.00,8682928.00,1206.00,3915510.00,6776827.00,1180977.00,0.00,0.00,0.00,0.00,0.00
2003-09-01,0.00,0.00,0.00,370.80,0.00,167.80,216.80,59.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,419188.00,0.00,118869.00,110372.00,39165.00,0.00,0.00,25.47,0.00,0.00,0.00,8808753.00,0.00,3807789.00,5174737.00,1405695.00,0.00,0.00,0.00,0.00,0.00
2003-10-01,0.00,0.00,0.00,337.00,0.06,199.30,205.40,51.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,381000.00,86.69,141201.00,104504.00,33961.00,0.00,0.00,25.42,0.00,0.00,0.00,8364015.00,1322.00,4743852.00,5034007.00,1285002.00,0.00,0.00,0.00,0.00,0.00
2003-11-01,0.00,0.00,0.00,346.30,0.01,171.80,254.10,34.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392535.00,18.53,121701.00,127941.00,23647.00,0.00,0.00,38.78,0.00,0.00,0.00,11194564.00,166.90,5392855.00,8793559.00,1036934.00,0.00,0.00,0.00,0.00,0.00
2003-12-01,0.00,0.00,0.00,365.60,0.22,197.10,290.90,35.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,416310.00,315.80,139654.00,145665.00,25352.00,0.00,0.00,33.23,0.00,0.00,0.00,10645908.00,4186.00,5488907.00,8495701.00,1028092.00,0.00,0.00,0.00,0.00,0.00
2004-01-01,0.00,0.00,0.00,390.90,0.05,216.20,129.40,28.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447532.00,68.49,153187.00,66891.00,18888.00,0.00,0.00,28.25,0.00,0.00,0.00,10468711.00,1678.00,5803792.00,3402253.00,779391.00,0.00,0.00,0.00,0.00,0.00
2004-02-01,0.00,0.00,0.00,371.10,1.05,261.70,188.70,42.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423594.00,1523.00,185413.00,96741.00,32770.00,0.00,0.00,89.84,0.00,0.00,0.00,26329515.00,421999.00,22121240.00,14513498.00,3478482.00,0.00,0.00,0.00,0.00,0.00
2004-03-01,0.00,0.00,0.00,389.60,0.04,223.30,126.50,38.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,445680.00,57.30,158218.00,67826.00,28135.00,0.00,0.00,37.49,0.00,0.00,0.00,13046827.00,1284.00,7170974.00,4211759.00,1262585.00,0.00,0.00,0.00,0.00,0.00
